ndTE,work,cost,LSF,motion,comboName,m,K,LSF,LE
0.017305,0.249489,127.964299,LSF_1,vertical,m100k010,10,1,1,0
0.01589,0.248868,125.195875,LSF_1,vertical,m100k010,10,1,1,0
0.017858,0.246712,121.926576,LSF_1,vertical,m100k010,10,1,1,0
0.017074,0.249831,125.590254,LSF_1,vertical,m100k010,10,1,1,0
0.015706,0.246224,127.915891,LSF_1,vertical,m100k010,10,1,1,0
0.016452,0.243799,132.116608,LSF_1,vertical,m100k010,10,1,1,0
0.016782,0.24342,128.238002,LSF_1,vertical,m100k010,10,1,1,0
0.015435,0.246059,128.417019,LSF_1,vertical,m100k010,10,1,1,0
0.017633,0.24469,120.960253,LSF_1,vertical,m100k010,10,1,1,0
0.015691,0.24709,163.15457,LSF_1,vertical,m100k010,10,1,1,0
0.016924,0.244373,127.994298,LSF_1,vertical,m100k010,10,1,1,0
0.017198,0.24836,123.031294,LSF_1,vertical,m100k010,10,1,1,0
0.016179,0.242843,125.619113,LSF_1,vertical,m100k010,10,1,1,0
0.016156,0.245948,130.747157,LSF_1,vertical,m100k010,10,1,1,0
0.015944,0.246561,125.829618,LSF_1,vertical,m100k010,10,1,1,0
0.016933,0.247466,130.498464,LSF_1,vertical,m100k010,10,1,1,0
0.017125,0.242102,123.94932,LSF_1,vertical,m100k010,10,1,1,0
0.016525,0.244356,127.694397,LSF_1,vertical,m100k010,10,1,1,0
0.017297,0.243784,119.733545,LSF_1,vertical,m100k010,10,1,1,0
0.01615,0.241382,130.616746,LSF_1,vertical,m100k010,10,1,1,0
0.014999,0.248103,131.610928,LSF_1,vertical,m100k010,10,1,1,0
0.015876,0.245279,128.139469,LSF_1,vertical,m100k010,10,1,1,0
0.01548,0.240525,122.864025,LSF_1,vertical,m100k010,10,1,1,0
0.016167,0.249613,133.265496,LSF_1,vertical,m100k010,10,1,1,0
0.01716,0.247959,130.604238,LSF_1,vertical,m100k010,10,1,1,0
0.015762,0.242754,129.930695,LSF_1,vertical,m100k010,10,1,1,0
0.017642,0.251208,127.348659,LSF_1,vertical,m100k010,10,1,1,0
0.015902,0.244991,126.03902,LSF_1,vertical,m100k010,10,1,1,0
0.016482,0.247561,125.709392,LSF_1,vertical,m100k010,10,1,1,0
0.016464,0.247817,124.398768,LSF_1,vertical,m100k010,10,1,1,0
0.016753,0.24738,127.20004,LSF_1,vertical,m100k010,10,1,1,0
0.016935,0.249858,130.97805,LSF_1,vertical,m100k010,10,1,1,0
0.014978,0.249084,135.586061,LSF_1,vertical,m100k010,10,1,1,0
0.015803,0.245322,130.921712,LSF_1,vertical,m100k010,10,1,1,0
0.013299,0.254248,133.572375,LSF_1,vertical,m100k100,10,10,1,0
0.013784,0.256221,131.568911,LSF_1,vertical,m100k100,10,10,1,0
0.014482,0.249981,136.064745,LSF_1,vertical,m100k100,10,10,1,0
0.014134,0.257003,142.776203,LSF_1,vertical,m100k100,10,10,1,0
0.014095,0.250612,139.604123,LSF_1,vertical,m100k100,10,10,1,0
0.012884,0.253777,144.088467,LSF_1,vertical,m100k100,10,10,1,0
0.014549,0.251917,136.883613,LSF_1,vertical,m100k100,10,10,1,0
0.013486,0.256198,146.244514,LSF_1,vertical,m100k100,10,10,1,0
0.015507,0.258173,142.213106,LSF_1,vertical,m100k100,10,10,1,0
0.013504,0.253218,138.331049,LSF_1,vertical,m100k100,10,10,1,0
0.013849,0.257602,139.439838,LSF_1,vertical,m100k100,10,10,1,0
0.013692,0.255283,139.36963,LSF_1,vertical,m100k100,10,10,1,0
0.013903,0.252091,133.114886,LSF_1,vertical,m100k100,10,10,1,0
0.012897,0.251917,137.661508,LSF_1,vertical,m100k100,10,10,1,0
0.014212,0.25989,136.101376,LSF_1,vertical,m100k100,10,10,1,0
0.014195,0.253539,144.155947,LSF_1,vertical,m100k100,10,10,1,0
0.016019,0.25475,132.513111,LSF_1,vertical,m100k100,10,10,1,0
0.01449,0.250881,131.211716,LSF_1,vertical,m100k100,10,10,1,0
0.01439,0.250385,132.666463,LSF_1,vertical,m100k100,10,10,1,0
0.015067,0.2537,132.185942,LSF_1,vertical,m100k100,10,10,1,0
0.014445,0.253404,138.459138,LSF_1,vertical,m100k100,10,10,1,0
0.01331,0.251586,138.25824,LSF_1,vertical,m100k100,10,10,1,0
0.013592,0.254333,135.643442,LSF_1,vertical,m100k100,10,10,1,0
0.014551,0.254676,134.982706,LSF_1,vertical,m100k100,10,10,1,0
0.014236,0.249329,135.261728,LSF_1,vertical,m100k100,10,10,1,0
0.013808,0.253247,137.52061,LSF_1,vertical,m100k100,10,10,1,0
0.013764,0.248673,136.667219,LSF_1,vertical,m100k100,10,10,1,0
