Tracking_Error,abdo_mass,length_scale,petiole_length,torsional_spring
0.039079,1.0,1.0,0.0,10.0
0.036542000000000005,1.0,1.0,0.0,10.0
0.040216,1.0,1.0,0.0,10.0
0.036826,1.0,1.0,0.0,10.0
0.036164,1.0,1.0,0.0,10.0
0.035281,1.0,1.0,0.0,10.0
0.037649,1.0,1.0,0.0,10.0
0.038452,1.0,1.0,0.0,10.0
0.03828,1.0,1.0,0.0,10.0
0.037728,1.0,1.0,0.0,10.0
0.036142,1.0,1.0,0.0,10.0
0.039976,1.0,1.0,0.0,10.0
0.039022,1.0,1.0,0.0,10.0
0.036368,1.0,1.0,0.0,10.0
0.037642,1.0,1.0,0.0,10.0
0.038266,1.0,1.0,0.0,10.0
0.037188,1.0,1.0,0.0,10.0
0.036293,1.0,1.0,0.0,10.0
0.018639,10.0,1.0,0.0,0.1
0.018027,10.0,1.0,0.0,0.1
0.018088,10.0,1.0,0.0,0.1
0.018803999999999998,10.0,1.0,0.0,0.1
0.017598,10.0,1.0,0.0,0.1
0.019672,10.0,1.0,0.0,0.1
0.017419999999999998,10.0,1.0,0.0,0.1
0.019049,10.0,1.0,0.0,0.1
0.017956,10.0,1.0,0.0,0.1
0.018516,10.0,1.0,0.0,0.1
0.018300999999999998,10.0,1.0,0.0,0.1
0.017631,10.0,1.0,0.0,0.1
0.019299,10.0,1.0,0.0,0.1
0.018082,10.0,1.0,0.0,0.1
0.018646,10.0,1.0,0.0,0.1
0.020718,10.0,1.0,0.0,0.1
0.018174,10.0,1.0,0.0,0.1
0.017921,10.0,1.0,0.0,0.1
0.018387,10.0,1.0,0.0,0.1
0.016057,10.0,1.0,0.0,0.1
0.018775999999999998,10.0,1.0,0.0,0.1
0.018357,10.0,1.0,0.0,0.1
0.020585,10.0,1.0,0.0,0.1
0.018379,10.0,1.0,0.0,0.1
0.018281,10.0,1.0,0.0,0.1
0.01681,10.0,1.0,0.0,0.1
0.018374,10.0,1.0,0.0,0.1
0.017275,10.0,1.0,0.0,0.1
0.018484999999999998,10.0,1.0,0.0,0.1
0.018846,10.0,1.0,0.0,0.1
0.0182,10.0,1.0,0.0,0.1
0.018751,10.0,1.0,0.0,0.1
0.018432,10.0,1.0,0.0,0.1
0.019222,10.0,1.0,0.0,0.1
0.01901,10.0,1.0,0.0,0.1
0.018862999999999998,10.0,1.0,0.0,0.1
0.018221,10.0,1.0,0.0,0.1
0.018335,10.0,1.0,0.0,0.1
0.018234,10.0,1.0,0.0,0.1
0.018646,10.0,1.0,0.0,0.1
0.015602000000000001,10.0,1.0,0.0,1.0
0.01642,10.0,1.0,0.0,1.0
0.016019,10.0,1.0,0.0,1.0
0.016017,10.0,1.0,0.0,1.0
0.016272,10.0,1.0,0.0,1.0
0.016451,10.0,1.0,0.0,1.0
0.017305,10.0,1.0,0.0,1.0
0.01589,10.0,1.0,0.0,1.0
0.017858000000000002,10.0,1.0,0.0,1.0
0.017074000000000002,10.0,1.0,0.0,1.0
0.015706,10.0,1.0,0.0,1.0
0.016452,10.0,1.0,0.0,1.0
0.016782,10.0,1.0,0.0,1.0
0.015434999999999999,10.0,1.0,0.0,1.0
0.017633000000000003,10.0,1.0,0.0,1.0
0.015691,10.0,1.0,0.0,1.0
